E,N,y,x
2619830.525,1263811.084,619829.91,263810.58
2624004.381,1265802.492,624003.75,265802
2619108.994,1266953.473,619108.342,266952.978
2627552.263,1268629.402,627551.59,268628.94
2626213.701,1263219.113,626213.09,263218.65
2630045.225,1264902.827,630044.56,264902.41
2630506.816,1269265.203,630506.12,269264.77
2628650.866,1271071.602,628650.16,271071.13
2630109.526,1267503.642,630108.84,267503.18
2634426.845,1271439.346,634426.09,271438.93
2632290.23,1267092.17,632289.54,267091.75
2633083.573,1265931.379,633082.9,265930.97
2635354.105,1268310.413,635353.39,268310.04
2637727.37,1274920.25,637726.52,274919.85
2632676.808,1263020.49,632676.13,263020.11
2635798.342,1265835.351,635797.62,265834.99
2638745.717,1266077.441,638745,266077.1
2636554.061,1263744.682,636553.35,263744.34
2635824.181,1259323.155,635823.5,259322.88
2638331.754,1259268.585,638331.07,259268.29
2639710.488,1261082.464,639709.77,261082.15
2639978.176,1263724.128,639977.46,263723.81
2640694.569,1264728.804,640693.84,264728.48
2640799.527,1267182.886,640798.78,267182.54
2644281.921,1265677.569,644281.16,265677.26
2644915.154,1266481.175,644914.39,266480.89
2643974.834,1263775.692,643974.1,263775.4
2641974.615,1261636.031,641973.9,261635.72
2642620.122,1257750.051,642619.4,257749.79
2640152.685,1255070.763,640152.03,255070.52
2638748.252,1255565.054,638747.6,255564.81
2646839.99,1268057.9,646839.17,268057.58
2647593.13,1266276.93,647592.31,266276.65
2646054.828,1265195.527,646054.03,265195.25
2648389.578,1262601.532,648388.76,262601.3
2644425.268,1260181.488,644424.52,260181.25
2647662.231,1260651.753,647661.44,260651.52
2649452.346,1259749.485,649451.55,259749.28
2644340.81,1258050.94,644340.09,258050.71
2647959.134,1258479.734,647958.36,258479.53
2650644.372,1257829.123,650643.59,257828.96
2647704.782,1256210.884,647704.06,256210.69
2651800.543,1255186.186,651799.72,255186.02
2648416.574,1271814.192,648415.65,271813.85
2656314.03,1248745.94,656313.21,248745.86
2652508.659,1250560.86,652507.86,250560.71
2653618.944,1248372.759,653618.14,248372.66
2654704.79,1245774.324,654703.99,245774.24
2657431.179,1246720.898,657430.38,246720.84
2659133.68,1249690.517,659132.83,249690.45
2659596.377,1248155.746,659595.55,248155.71
2659981.966,1245963.022,659981.14,245963
2661404.869,1248053.265,661404,248053.26
2663452.212,1251271.991,663451.3,251271.99
2665255.599,1247667.428,665254.73,247667.48
2666649.84,1251701.953,666648.93,251702
2667166.959,1249010.211,667166.05,249010.28
2668810.22,1249610.26,668809.31,249610.35
2669987.245,1248110.111,669986.35,248110.24
2668484.748,1252199.694,668483.81,252199.73
2670755.923,1251561.823,670755,251561.84
2671655.947,1249872.118,671655.03,249872.18
2672286.893,1247826.235,672285.98,247826.35
2656457.293,1252023.673,656456.47,252023.57
2653910.399,1255209.12,653909.55,255208.96
2650529.88,1252945.78,650529.09,252945.63
2656532.602,1256155.366,656531.74,256155.25
2657989.338,1254297.389,657988.5,254297.29
2660287.894,1252148.725,660287.03,252148.67
2658769.691,1256663.01,658768.84,256662.95
2660120.43,1255148.75,660119.56,255148.7
2662103.83,1254303.555,662102.94,254303.51
2660361.537,1257540.847,660360.64,257540.77
2655338.652,1258137.059,655337.78,258136.91
2657136.993,1258324.066,657136.12,258323.96
2659833.492,1260903.873,659832.61,260903.77
2663172.558,1259361.466,663171.65,259361.41
2652253.86,1259230.09,652253.04,259229.94
2651898.035,1262231.388,651897.19,262231.24
2653644.672,1260986.931,653643.81,260986.78
2657007.182,1259534.547,657006.29,259534.44
2656812.438,1261723.258,656811.54,261723.15
2659411.113,1262022.246,659410.2,262022.15
2649860.78,1265732.267,649859.92,265732.04
2650703.33,1264293.33,650702.52,264293.14
2652227.551,1265594.546,652226.67,265594.34
2656127.056,1263134.15,656126.16,263134.01
2654798.732,1264540.71,654797.82,264540.57
2648375.444,1267508.885,648374.59,267508.59
2649208.958,1267517.076,649208.1,267516.81
2652559.877,1267433.027,652558.95,267432.82
2653464.891,1266331.211,653463.97,266331.02
2650925.018,1270156.964,650924.09,270156.66
2651656.684,1268440.002,651655.75,268439.74
2653180.449,1269396.331,653179.48,269396.11
2655134.474,1267535.392,655133.55,267535.22
2656113.074,1276692.078,656111.98,276691.86
2654305.758,1271551.212,654304.78,271550.99
2654890.08,1270492.516,654889.08,270492.34
2657098.54,1271105.05,657097.5,271104.85
2659059.658,1267995.786,659058.66,267995.64
2656909.974,1272710.516,656908.91,272710.31
2659464.147,1270639.221,659463.11,270639.07
2661239.487,1272762.838,661238.4,272762.68
2662882.918,1268809.093,662881.87,268808.97
2664422.966,1273032.634,664421.86,273032.49
2663729.404,1271328.17,663728.31,271328.03
2668821.79,1272754.31,668820.65,272754.26
2666280.6,1269479.852,666279.52,269479.76
2658289.555,1264794.104,658288.61,264793.97
2663181.37,1265472.774,663180.34,265472.69
2665559.75,1267728.62,665558.68,267728.56
2662689.776,1263137.642,662688.82,263137.58
2667358.03,1261202.952,667357.05,261202.95
2666437.208,1262920.701,666436.22,262920.69
2665157.945,1264156.181,665156.91,264156.17
2668043.102,1264769.683,668042.08,264769.69
2666231.564,1265656.728,666230.54,265656.77
2667932.588,1266776.313,667931.55,266776.31
2669037.357,1268959.906,669036.28,268959.89
2672845.766,1268446.773,672844.65,268446.78
2675715.28,1273237.56,675714.16,273237.66
2674252.44,1268760.069,674251.32,268760.06
2671478.779,1266105.465,671477.73,266105.49
2672885.731,1266476.181,672884.6,266476.24
2673553.26,1267740.286,673552.14,267740.28
2673255.613,1265490.958,673254.52,265491
2670622.466,1263103.333,670621.47,263103.33
